seed,N,non_equivariance,p_err,max_val_acc,max_epoch
42,20,0,0.0,0.9,17
42,20,0,0.01,0.9,15
42,20,0,0.02,0.9,15
42,20,0,0.03,0.9,15
42,20,0,0.04,0.9,15
42,20,0,0.05,0.9,16
42,20,0,0.06,0.9,16
42,20,0,0.07,0.9,16
42,20,0,0.08,0.9,17
42,20,0,0.09,0.9,17
42,20,0,0.1,0.9,17
42,20,0,0.11,0.89999999955,18
42,20,0,0.11,0.9,19
42,20,0,0.12,0.89999999955,19
42,20,0,0.12,0.9,20
42,20,0,0.13,0.89999999955,21
42,20,0,0.13,0.9,22
42,20,0,0.14,0.9999999995,30
42,20,0,0.14,1.0,31
42,20,0,0.15,0.949999999525,25
42,20,0,0.15,0.95,26
42,20,0,0.16,0.949999999525,22
42,20,0,0.16,0.95,23
42,20,0,0.17,0.649999999675,38
42,20,0,0.17,0.65,39
42,20,0,0.18,0.949999999525,21
42,20,0,0.18,0.95,22
42,20,0,0.19,0.9999999995,14
42,20,0,0.19,1.0,15
42,20,0,0.2,0.9999999995,11
42,20,0,0.2,1.0,12
42,20,1,0.0,0.95,9
42,20,1,0.02,0.85,10
42,20,1,0.03,0.85,11
42,20,1,0.04,0.8,12
42,20,1,0.05,0.75,12
42,20,1,0.06,0.7,17
42,20,1,0.07,0.7,23
42,20,1,0.08,0.65,23
42,20,1,0.09,0.65,35
42,20,1,0.1,0.6,1
42,20,1,0.11,0.5999999997,35
42,20,1,0.11,0.6,36
42,20,1,0.12,0.649999999675,1
42,20,1,0.12,0.65,2
42,20,1,0.13,0.649999999675,1
42,20,1,0.13,0.65,2
42,20,1,0.14,0.5999999997,1
42,20,1,0.14,0.6,2
42,20,1,0.15,0.549999999725,10
42,20,1,0.15,0.55,11
42,20,1,0.16,0.649999999675,25
42,20,1,0.16,0.65,26
42,20,1,0.17,0.49999999975,2
42,20,1,0.17,0.5,3
42,20,1,0.18,0.5999999997,32
42,20,1,0.18,0.6,33
42,20,1,0.19,0.5999999997,32
42,20,1,0.19,0.6,33
42,20,1,0.2,0.5999999997,0
42,20,1,0.2,0.6,1
42,20,2,0.0,0.95,11
42,20,2,0.01,0.95,12
42,20,2,0.02,0.85,10
42,20,2,0.03,0.85,11
42,20,2,0.04,0.8,11
42,20,2,0.05,0.8,11
42,20,2,0.06,0.7,12
42,20,2,0.07,0.7,15
42,20,2,0.08,0.7,19
42,20,2,0.09,0.7,23
42,20,2,0.1,0.65,23
42,20,2,0.11,0.649999999675,24
42,20,2,0.11,0.65,25
42,20,2,0.12,0.649999999675,1
42,20,2,0.12,0.65,2
42,20,2,0.13,0.649999999675,1
42,20,2,0.13,0.65,2
42,20,2,0.14,0.549999999725,35
42,20,2,0.14,0.55,36
42,20,2,0.15,0.6999999996499999,6
42,20,2,0.15,0.7,7
42,20,2,0.16,0.649999999675,37
42,20,2,0.16,0.65,38
42,20,2,0.17,0.649999999675,37
42,20,2,0.17,0.65,38
42,20,2,0.18,0.649999999675,35
42,20,2,0.18,0.65,36
42,20,2,0.19,0.5999999997,38
42,20,2,0.19,0.6,39
42,20,2,0.2,0.5999999997,1
42,20,2,0.2,0.6,2
42,20,3,0.0,0.8,39
42,20,3,0.01,0.8,38
42,20,3,0.02,0.8,38
42,20,3,0.03,0.75,38
42,20,3,0.04,0.75,38
42,20,3,0.05,0.7,38
42,20,3,0.06,0.7,39
42,20,3,0.07,0.6,6
42,20,3,0.08,0.6,6
42,20,3,0.09,0.6,6
42,20,3,0.1,0.65,7
42,20,3,0.11,0.649999999675,7
42,20,3,0.11,0.65,8
42,20,3,0.12,0.649999999675,7
42,20,3,0.12,0.65,8
42,20,3,0.13,0.5999999997,7
42,20,3,0.13,0.6,8
42,20,3,0.14,0.5999999997,7
42,20,3,0.14,0.6,8
42,20,3,0.15,0.5999999997,7
42,20,3,0.15,0.6,8
42,20,3,0.16,0.549999999725,5
42,20,3,0.16,0.55,6
42,20,3,0.17,0.5999999997,6
42,20,3,0.17,0.6,7
42,20,3,0.18,0.5999999997,6
42,20,3,0.18,0.6,7
42,20,3,0.19,0.5999999997,6
42,20,3,0.19,0.6,7
42,20,3,0.2,0.5999999997,5
42,20,3,0.2,0.6,6
42,20,4,0.0,0.949999999525,7
42,20,4,0.01,0.949999999525,7
42,20,4,0.02,0.949999999525,5
42,20,4,0.03,0.949999999525,6
42,20,4,0.04,0.949999999525,6
42,20,4,0.05,0.949999999525,4
42,20,4,0.06,0.89999999955,4
42,20,4,0.07,0.89999999955,4
42,20,4,0.08,0.949999999525,3
42,20,4,0.09,0.949999999525,3
42,20,4,0.1,0.949999999525,6
42,40,0,0.0,0.6999999998249999,19
42,40,0,0.01,0.6999999998249999,20
42,40,0,0.02,0.67499999983125,12
42,40,0,0.03,0.67499999983125,13
42,40,0,0.04,0.67499999983125,13
42,40,0,0.05,0.6999999998249999,14
42,40,0,0.06,0.6999999998249999,14
42,40,0,0.07,0.6999999998249999,14
42,40,0,0.08,0.6999999998249999,15
42,40,0,0.09,0.6999999998249999,15
42,40,0,0.1,0.6999999998249999,16
42,40,0,0.11,0.6999999998249999,16
42,40,0,0.12,0.72499999981875,24
42,40,0,0.13,0.72499999981875,9
42,40,0,0.14,0.8499999997875,39
42,40,0,0.15,0.7999999998,14
42,40,0,0.16,0.8249999997937499,13
42,40,0,0.17,0.7499999998125,39
42,40,0,0.18,0.8499999997875,13
42,40,0,0.19,0.8499999997875,9
42,40,0,0.2,0.8499999997875,7
42,40,1,0.0,0.8249999997937499,12
42,40,1,0.01,0.7999999998,12
42,40,1,0.02,0.7499999998125,9
42,40,1,0.03,0.72499999981875,11
42,40,1,0.04,0.67499999983125,12
42,40,1,0.05,0.59999999985,14
42,40,1,0.06,0.5749999998562499,14
42,40,1,0.07,0.5499999998625,11
42,40,1,0.08,0.52499999986875,1
42,40,1,0.09,0.52499999986875,1
42,40,1,0.1,0.52499999986875,1
42,40,1,0.11,0.5749999998562499,1
42,40,1,0.12,0.62499999984375,1
42,40,1,0.13,0.59999999985,15
42,40,1,0.14,0.5749999998562499,7
42,40,1,0.15,0.62499999984375,5
42,40,1,0.16,0.62499999984375,3
42,40,1,0.17,0.62499999984375,4
42,40,1,0.18,0.59999999985,2
42,40,1,0.19,0.62499999984375,5
42,40,1,0.2,0.62499999984375,1
42,40,2,0.0,0.8499999997875,12
42,40,2,0.01,0.7999999998,9
42,40,2,0.02,0.7499999998125,9
42,40,2,0.03,0.72499999981875,25
42,40,2,0.04,0.72499999981875,13
42,40,2,0.05,0.67499999983125,11
42,40,2,0.06,0.6499999998375,11
42,40,2,0.07,0.6499999998375,11
42,40,2,0.08,0.62499999984375,11
42,40,2,0.09,0.62499999984375,11
42,40,2,0.1,0.5749999998562499,11
42,40,2,0.11,0.5499999998625,11
42,40,2,0.12,0.52499999986875,11
42,40,2,0.13,0.59999999985,32
42,40,2,0.14,0.62499999984375,6
42,40,2,0.15,0.62499999984375,3
42,40,2,0.16,0.5749999998562499,1
42,40,2,0.17,0.59999999985,5
42,40,2,0.18,0.59999999985,4
42,40,2,0.19,0.59999999985,3
42,40,2,0.2,0.59999999985,3
42,40,3,0.0,0.62499999984375,5
42,40,3,0.01,0.59999999985,5
42,40,3,0.02,0.59999999985,5
42,40,3,0.03,0.59999999985,5
42,40,3,0.04,0.59999999985,5
42,40,3,0.05,0.5749999998562499,5
42,40,3,0.06,0.5749999998562499,4
42,40,3,0.07,0.5749999998562499,3
42,40,3,0.08,0.5749999998562499,3
42,40,3,0.09,0.5749999998562499,3
42,40,3,0.1,0.5749999998562499,3
42,40,3,0.11,0.5749999998562499,3
42,40,3,0.12,0.5749999998562499,3
42,40,3,0.13,0.5749999998562499,3
42,40,3,0.14,0.5749999998562499,4
42,40,3,0.15,0.5749999998562499,4
42,40,3,0.16,0.5749999998562499,4
42,40,3,0.17,0.5749999998562499,4
42,40,3,0.18,0.59999999985,4
42,40,3,0.19,0.59999999985,4
42,40,3,0.2,0.59999999985,4
42,40,4,0.01,0.92499999976875,16
42,40,4,0.02,0.92499999976875,16
42,40,4,0.03,0.92499999976875,16
42,40,4,0.04,0.92499999976875,7
42,40,4,0.05,0.92499999976875,5
42,40,4,0.06,0.92499999976875,5
42,40,4,0.07,0.92499999976875,37
42,40,4,0.08,0.899999999775,5
42,40,4,0.09,0.92499999976875,6
42,40,4,0.1,0.92499999976875,6
42,80,0,0.0,0.7624999999046875,18
42,80,0,0.01,0.7624999999046875,16
42,80,0,0.02,0.7624999999046875,16
42,80,0,0.03,0.7499999999062501,17
42,80,0,0.04,0.7499999999062501,7
42,80,0,0.05,0.7624999999046875,19
42,80,0,0.06,0.7749999999031251,21
42,80,0,0.07,0.7749999999031251,24
42,80,0,0.08,0.7874999999015626,31
42,80,0,0.09,0.7999999999,29
42,80,0,0.1,0.8124999998984376,35
42,80,0,0.11,0.8374999998953125,21
42,80,0,0.12,0.874999999890625,30
42,80,0,0.13,0.8874999998890626,21
42,80,0,0.14,0.8374999998953125,39
42,80,0,0.15,0.8374999998953125,7
42,80,0,0.16,0.8374999998953125,32
42,80,0,0.17,0.8374999998953125,30
42,80,0,0.18,0.8499999998937501,4
42,80,0,0.19,0.8624999998921876,3
42,80,0,0.2,0.8624999998921876,3
42,80,1,0.0,0.8374999998953125,14
42,80,1,0.01,0.8124999998984376,30
42,80,1,0.02,0.7874999999015626,13
42,80,1,0.03,0.7749999999031251,21
42,80,1,0.04,0.724999999909375,30
42,80,1,0.05,0.6999999999125001,15
42,80,1,0.06,0.6624999999171876,15
42,80,1,0.07,0.6124999999234375,1
42,80,1,0.08,0.5999999999250001,1
42,80,1,0.09,0.5374999999328125,1
42,80,1,0.1,0.5624999999296876,1
42,80,1,0.11,0.5249999999343751,6
42,80,1,0.12,0.5249999999343751,13
42,80,1,0.13,0.5374999999328125,6
42,80,1,0.14,0.5374999999328125,7
42,80,1,0.15,0.5124999999359375,4
42,80,1,0.16,0.5249999999343751,7
42,80,1,0.17,0.5374999999328125,23
42,80,1,0.18,0.5249999999343751,5
42,80,1,0.19,0.5249999999343751,7
42,80,1,0.2,0.5249999999343751,27
42,80,2,0.0,0.8374999998953125,28
42,80,2,0.01,0.8124999998984376,30
42,80,2,0.02,0.7749999999031251,8
42,80,2,0.03,0.7499999999062501,8
42,80,2,0.04,0.7499999999062501,12
42,80,2,0.05,0.724999999909375,30
42,80,2,0.06,0.6999999999125001,15
42,80,2,0.07,0.6624999999171876,22
42,80,2,0.08,0.5874999999265625,1
42,80,2,0.09,0.54999999993125,1
42,80,2,0.1,0.54999999993125,1
42,80,2,0.11,0.5249999999343751,11
42,80,2,0.12,0.5374999999328125,7
42,80,2,0.13,0.5374999999328125,13
42,80,2,0.14,0.5374999999328125,6
42,80,2,0.15,0.5124999999359375,6
42,80,2,0.16,0.54999999993125,15
42,80,2,0.17,0.5374999999328125,7
42,80,2,0.18,0.5249999999343751,5
42,80,2,0.19,0.5249999999343751,7
42,80,2,0.2,0.5249999999343751,27
42,80,3,0.0,0.7749999999031251,7
42,80,3,0.01,0.7624999999046875,7
42,80,3,0.02,0.7624999999046875,7
42,80,3,0.03,0.7374999999078126,7
42,80,3,0.04,0.6999999999125001,9
42,80,3,0.05,0.6749999999156251,38
42,80,3,0.06,0.6749999999156251,38
42,80,3,0.07,0.6624999999171876,39
42,80,3,0.08,0.64999999991875,4
42,80,3,0.09,0.6374999999203126,4
42,80,3,0.1,0.64999999991875,39
42,80,3,0.11,0.64999999991875,38
42,80,3,0.12,0.6374999999203126,38
42,80,3,0.13,0.6374999999203126,38
42,80,3,0.14,0.6374999999203126,38
42,80,3,0.15,0.6374999999203126,38
42,80,3,0.16,0.624999999921875,4
42,80,3,0.17,0.624999999921875,4
42,80,3,0.18,0.624999999921875,4
42,80,3,0.19,0.6374999999203126,4
42,80,3,0.2,0.624999999921875,4
42,80,4,0.01,0.9249999998843752,4
42,80,4,0.02,0.9374999998828126,4
42,80,4,0.03,0.9249999998843752,4
42,80,4,0.04,0.9124999998859376,4
42,80,4,0.05,0.9249999998843752,3
42,80,4,0.06,0.9249999998843752,3
42,80,4,0.07,0.9374999998828126,3
42,80,4,0.08,0.9374999998828126,3
42,80,4,0.09,0.9249999998843752,3
42,80,4,0.1,0.9249999998843752,3
42,160,0,0.0,0.768749999951953,17
42,160,0,0.0,0.768749999951953,17
42,160,0,0.01,0.768749999951953,15
42,160,0,0.01,0.768749999951953,15
42,160,0,0.02,0.768749999951953,15
42,160,0,0.02,0.768749999951953,15
42,160,0,0.03,0.768749999951953,15
42,160,0,0.03,0.768749999951953,15
42,160,0,0.04,0.7749999999515624,22
42,160,0,0.04,0.7749999999515624,22
42,160,0,0.05,0.7874999999507812,19
42,160,0,0.05,0.7874999999507812,19
42,160,0,0.06,0.7812499999511718,19
42,160,0,0.06,0.7812499999511718,19
42,160,0,0.07,0.7874999999507812,26
42,160,0,0.07,0.7874999999507812,26
42,160,0,0.08,0.7937499999503906,19
42,160,0,0.08,0.7937499999503906,19
42,160,0,0.09,0.8187499999488281,27
42,160,0,0.09,0.8187499999488281,27
42,160,0,0.1,0.8499999999468749,35
42,160,0,0.1,0.8499999999468749,35
42,160,0,0.11,0.8499999999468749,20
42,160,0,0.12,0.8687499999457031,21
42,160,0,0.13,0.8687499999457031,28
42,160,0,0.14,0.8249999999484374,36
42,160,0,0.15,0.8312499999480468,7
42,160,0,0.16,0.8249999999484374,5
42,160,0,0.17,0.8249999999484374,4
42,160,0,0.18,0.8499999999468749,4
42,160,0,0.19,0.8312499999480468,3
42,160,0,0.2,0.8499999999468749,3
42,160,1,0.0,0.8249999999484374,34
42,160,1,0.0,0.8249999999484374,34
42,160,1,0.01,0.7999999999499999,8
42,160,1,0.01,0.7999999999499999,8
42,160,1,0.02,0.7749999999515624,8
42,160,1,0.02,0.7749999999515624,8
42,160,1,0.03,0.7749999999515624,14
42,160,1,0.03,0.7749999999515624,14
42,160,1,0.04,0.7374999999539062,12
42,160,1,0.04,0.7374999999539062,12
42,160,1,0.05,0.718749999955078,14
42,160,1,0.05,0.718749999955078,14
42,160,1,0.06,0.6937499999566406,14
42,160,1,0.06,0.6937499999566406,14
42,160,1,0.07,0.6249999999609375,1
42,160,1,0.07,0.6249999999609375,1
42,160,1,0.08,0.6062499999621094,1
42,160,1,0.08,0.6062499999621094,1
42,160,1,0.09,0.5687499999644531,1
42,160,1,0.09,0.5687499999644531,1
42,160,1,0.1,0.5624999999648437,15
42,160,1,0.1,0.5624999999648437,15
42,160,1,0.11,0.5687499999644531,18
42,160,1,0.12,0.5562499999652344,15
42,160,1,0.13,0.5687499999644531,12
42,160,1,0.14,0.549999999965625,4
42,160,1,0.15,0.549999999965625,2
42,160,1,0.16,0.5437499999660156,3
42,160,1,0.17,0.549999999965625,6
42,160,1,0.18,0.549999999965625,4
42,160,1,0.19,0.549999999965625,4
42,160,1,0.2,0.549999999965625,6
42,160,2,0.0,0.8312499999480468,26
42,160,2,0.0,0.8312499999480468,26
42,160,2,0.01,0.8062499999496093,14
42,160,2,0.02,0.7812499999511718,8
42,160,2,0.03,0.7624999999523437,14
42,160,2,0.04,0.7499999999531249,14
42,160,2,0.05,0.7249999999546874,14
42,160,2,0.06,0.7374999999539062,39
42,160,2,0.07,0.69999999995625,34
42,160,2,0.08,0.5999999999625,2
42,160,2,0.09,0.5687499999644531,35
42,160,2,0.1,0.5624999999648437,15
42,160,2,0.11,0.5687499999644531,19
42,160,2,0.12,0.5562499999652344,13
42,160,2,0.13,0.5562499999652344,7
42,160,2,0.14,0.549999999965625,5
42,160,2,0.15,0.5437499999660156,3
42,160,2,0.16,0.549999999965625,11
42,160,2,0.17,0.5437499999660156,6
42,160,2,0.18,0.5437499999660156,4
42,160,2,0.19,0.5437499999660156,4
42,160,2,0.2,0.5437499999660156,6
42,160,3,0.0,0.7812499999511718,39
42,160,3,0.01,0.7874999999507812,39
42,160,3,0.02,0.7999999999499999,39
42,160,3,0.03,0.7999999999499999,39
42,160,3,0.04,0.7999999999499999,39
42,160,3,0.05,0.8062499999496093,39
42,160,3,0.06,0.8124999999492187,39
42,160,3,0.07,0.8187499999488281,39
42,160,3,0.08,0.8187499999488281,37
42,160,3,0.09,0.8187499999488281,37
42,160,3,0.1,0.8187499999488281,38
42,160,3,0.11,0.8624999999460937,35
42,160,3,0.12,0.8687499999457031,35
42,160,3,0.13,0.8624999999460937,35
42,160,3,0.14,0.8562499999464843,35
42,160,3,0.15,0.8562499999464843,35
42,160,3,0.16,0.8562499999464843,35
42,160,3,0.17,0.8687499999457031,36
42,160,3,0.18,0.8687499999457031,36
42,160,3,0.19,0.8624999999460937,37
42,160,3,0.2,0.8624999999460937,37
42,160,4,0.01,0.8749999999453124,30
42,160,4,0.02,0.8749999999453124,30
42,160,4,0.03,0.8749999999453124,30
42,160,4,0.04,0.8749999999453124,30
42,160,4,0.05,0.8687499999457031,30
42,160,4,0.06,0.8624999999460937,30
42,160,4,0.07,0.8562499999464843,14
42,160,4,0.08,0.8562499999464843,13
42,160,4,0.09,0.8499999999468749,17
42,160,4,0.1,0.8499999999468749,30
42,320,0,0.01,0.7874999999753906,8
42,320,0,0.02,0.7874999999753906,9
42,320,0,0.03,0.7906249999752929,8
42,320,0,0.04,0.7937499999751952,6
42,320,0,0.05,0.7999999999749999,6
42,320,0,0.06,0.8062499999748046,6
42,320,0,0.07,0.7999999999749999,5
42,320,0,0.08,0.8031249999749023,4
42,320,0,0.09,0.8218749999743163,20
42,320,0,0.1,0.8406249999737304,24
42,320,0,0.11,0.8656249999729492,29
42,320,0,0.12,0.8781249999725586,24
42,320,0,0.13,0.8874999999722656,24
42,320,0,0.14,0.8937499999720703,33
42,320,0,0.15,0.8593749999731445,7
42,320,0,0.16,0.8531249999733398,5
42,320,0,0.17,0.8499999999734374,4
42,320,0,0.18,0.8499999999734374,3
42,320,0,0.19,0.8624999999730468,3
42,320,0,0.2,0.8718749999727539,3
42,320,1,0.01,0.818749999974414,23
42,320,1,0.02,0.8031249999749023,10
42,320,1,0.03,0.7749999999757813,9
42,320,1,0.04,0.7624999999761719,10
42,320,1,0.05,0.7406249999768555,9
42,320,1,0.06,0.7187499999775391,13
42,320,1,0.07,0.7156249999776367,9
42,320,1,0.08,0.6531249999795898,13
42,320,1,0.09,0.6406249999799805,2
42,320,1,0.1,0.6156249999807617,1
42,320,1,0.11,0.618749999980664,1
42,320,1,0.12,0.5781249999819336,1
42,320,1,0.13,0.5468749999829101,1
42,320,1,0.14,0.5374999999832031,6
42,320,1,0.15,0.5343749999833007,6
42,320,1,0.16,0.5437499999830078,1
42,320,1,0.17,0.5499999999828125,1
42,320,1,0.18,0.5562499999826171,3
42,320,1,0.19,0.5593749999825195,3
42,320,1,0.2,0.5593749999825195,1
42,320,2,0.01,0.818749999974414,23
42,320,2,0.02,0.8031249999749023,35
42,320,2,0.03,0.781249999975586,23
42,320,2,0.04,0.7624999999761719,8
42,320,2,0.05,0.7437499999767578,35
42,320,2,0.06,0.7562499999763672,33
42,320,2,0.07,0.7249999999773438,35
42,320,2,0.08,0.6968749999782227,35
42,320,2,0.09,0.6687499999791016,33
42,320,2,0.1,0.59999999998125,3
42,320,2,0.11,0.5687499999822265,1
42,320,2,0.12,0.5531249999827148,1
42,320,2,0.13,0.5437499999830078,1
42,320,2,0.14,0.528124999983496,3
42,320,2,0.15,0.5437499999830078,1
42,320,2,0.16,0.5562499999826171,1
42,320,2,0.17,0.5499999999828125,1
42,320,2,0.18,0.5499999999828125,3
42,320,2,0.19,0.5593749999825195,3
42,320,2,0.2,0.5624999999824218,3
42,320,3,0.01,0.8718749999727539,35
42,320,3,0.02,0.8718749999727539,33
42,320,3,0.03,0.8687499999728515,32
42,320,3,0.04,0.8687499999728515,30
42,320,3,0.05,0.8718749999727539,24
42,320,3,0.06,0.8656249999729492,23
42,320,3,0.07,0.8656249999729492,22
42,320,3,0.08,0.8624999999730468,21
42,320,3,0.09,0.8656249999729492,21
42,320,3,0.1,0.8624999999730468,21
42,320,3,0.11,0.8624999999730468,24
42,320,3,0.12,0.8624999999730468,21
42,320,3,0.13,0.8624999999730468,24
42,320,3,0.14,0.8624999999730468,24
42,320,3,0.15,0.8624999999730468,24
42,320,3,0.16,0.8624999999730468,24
42,320,3,0.17,0.8656249999729492,24
42,320,3,0.18,0.8656249999729492,24
42,320,3,0.19,0.8656249999729492,24
42,320,3,0.2,0.8624999999730468,24
101,20,0,0.0,1.0,7
101,20,0,0.01,1.0,18
101,20,0,0.02,0.95,4
101,20,0,0.03,0.95,4
101,20,0,0.04,0.95,4
101,20,0,0.05,0.95,5
101,20,0,0.06,0.95,5
101,20,0,0.07,0.9,1
101,20,0,0.08,0.9,1
101,20,0,0.09,0.9,2
101,20,0,0.1,0.9,2
101,20,0,0.11,0.949999999525,6
101,20,0,0.11,0.95,7
101,20,0,0.12,0.89999999955,2
101,20,0,0.12,0.9,3
101,20,0,0.13,0.89999999955,12
101,20,0,0.13,0.9,13
101,20,0,0.14,0.89999999955,10
101,20,0,0.14,0.9,11
101,20,0,0.15,0.8499999995749999,2
101,20,0,0.15,0.85,3
101,20,0,0.16,0.8499999995749999,2
101,20,0,0.16,0.85,3
101,20,0,0.17,0.8499999995749999,2
101,20,0,0.17,0.85,3
101,20,0,0.18,0.8499999995749999,2
101,20,0,0.18,0.85,3
101,20,0,0.19,0.8499999995749999,2
101,20,0,0.19,0.85,3
101,20,0,0.2,0.8499999995749999,2
101,20,0,0.2,0.85,3
101,20,1,0.0,1.0,3
101,20,1,0.01,0.9,3
101,20,1,0.02,0.85,2
101,20,1,0.03,0.85,5
101,20,1,0.04,0.8,3
101,20,1,0.05,0.75,5
101,20,1,0.06,0.75,7
101,20,1,0.07,0.75,9
101,20,1,0.08,0.8,17
101,20,1,0.09,0.5,5
101,20,1,0.1,0.5,8
101,20,1,0.11,0.49999999975,7
101,20,1,0.11,0.5,8
101,20,1,0.12,0.5999999997,19
101,20,1,0.12,0.6,20
